Rootstock,Seedlings_Treatment,Gross_Margin,Diease ,Pest,Pesticide_Usage ,Fertilization_Usage
1,1,0.783333333,2,1,8,3
1,1,0.8375,2,1,6,6
1,1,0.35,2,1,8,3
0,0,0.416666667,0,1,2,2
0,0,0.675,1,1,2,1
0,1,0.922619048,3,2,1,2
0,0,0.75,4,1,4,2
1,1,0.8375,2,1,6,3
1,0,0.575,8,7,5,3
1,1,0.8375,2,1,6,6
1,1,0.855555556,2,1,6,6
0,0,0.965,2,2,6,4
0,0,0.7,3,2,8,4
0,1,0.75,2,2,8,4
0,0,0.778846154,3,2,7,4
0,0,0.77,3,2,7,3
0,1,0.73,2,2,7,3
1,1,0.8375,2,1,3,5
0,0,0.77,4,3,7,4
0,0,0.739583333,2,2,7,4
0,0,0.677777778,4,3,8,3
1,1,0.8375,2,1,5,5
1,1,0.8375,2,1,5,5
1,1,0.855555556,2,1,5,5
1,1,0.855555556,2,1,5,5
1,0,0.45,2,1,13,3
0,1,0.75,2,2,7,4
0,1,0.739583333,4,2,7,4
0,0,0.75,2,2,8,3
0,0,0.75,3,2,7,3
1,0,0.90625,2,2,4,2
1,1,0.8375,2,1,5,5
0,0,0.583333333,5,3,8,3
1,1,0.8375,1,1,6,5
0,0,0.4875,1,1,5,6
1,1,0.855555556,2,1,6,3
1,1,0.8375,2,1,5,3
0,0,0.609090909,1,0,8,3
1,0,0.8375,2,1,5,5
1,1,0.8375,2,1,5,5
1,1,0.8375,2,1,5,5
1,1,0.8375,2,1,6,5
1,0,0.8375,2,2,7,3
1,0,0.87,2,2,7,3
1,0,0.8625,2,2,7,3
1,0,0.783333333,2,2,7,3
1,0,0.8375,2,2,3,7
0,0,0.7125,4,4,8,4
1,0,0.816666667,2,2,7,3
1,1,0.8375,2,1,5,5
1,1,0.8375,3,1,5,5
1,1,0.8375,2,1,5,3
1,1,0.8375,2,1,5,5
1,1,0.8375,2,1,5,5
1,1,0.855555556,2,1,5,5
1,1,0.855555556,2,1,5,5
1,1,0.8125,2,1,5,5
1,1,0.855555556,2,1,6,5
1,1,0.855555556,3,1,5,5
1,1,0.7875,2,1,5,3
1,1,0.8375,2,1,5,8
1,1,0.855555556,2,1,5,3
1,1,0.8375,2,1,3,3
1,1,0.848837209,2,1,5,5
1,1,0.855555556,3,1,5,5
0,0,0.91,5,4,5,2
1,1,0.8375,2,1,5,3
1,1,0.8375,2,1,5,3
1,1,0.8375,2,1,5,5
1,0,0.69,2,1,8,2
1,1,0.8375,2,1,5,4
1,1,0.845238095,2,1,4,5
1,1,0.8375,2,1,5,5
1,1,0.8375,2,1,4,4
1,1,0.8375,2,1,5,5
1,1,0.828947368,2,1,5,5
1,1,0.855555556,3,1,5,5
1,1,0.8125,2,1,5,4
1,1,0.802631579,2,1,5,5
1,1,0.8625,2,2,5,5
1,1,0.8375,2,2,5,5
1,1,0.575,2,1,3,2
1,1,0.774509804,2,3,8,4
0,0,0.695121951,3,2,7,5
0,1,0.875,3,2,9,3
