Gender,Age,Edu,Area,Training,T-Age,Identity,Farm Cooperative,FP
0,31,15,7.5,0,7.5,0,0,1
1,31,16,2.5,0,7.5,0,0,1
0,57,9,7.5,0,10,1,1,1
1,45,12,2.5,0,4.5,0,0,1
0,62,12,2.5,0,4.5,0,0,1
1,60,9,2.5,0,4.5,0,0,1
1,63,12,2.5,0,4.5,0,0,1
1,67,9,2.5,0,4.5,0,0,1
1,29,15,900,1,7.5,1,1,0
0,46,12,7.5,1,7.5,0,0,0
1,62,9,2.5,0,4.5,0,0,1
1,29,15,2000,1,2,1,0,0
1,26,16,1500,1,2,1,0,0
0,26,15,2000,1,2,1,1,1
1,27,16,1500,1,4.5,1,1,0
0,56,9,7.5,0,7.5,1,0,1
1,65,6,7.5,0,2,0,1,1
0,62,9,2.5,0,4.5,0,0,1
1,27,15,1500,1,4.5,1,1,0
1,32,15,2000,1,2,1,0,0
1,27,12,2000,1,2,1,0,0
1,42,12,2000,1,2,1,0,0
1,33,15,2000,1,2,1,1,0
1,57,15,1500,1,2,1,0,0
1,61,12,1500,1,2,0,1,1
1,57,15,1500,1,2,1,0,0
1,48,16,2000,1,2,1,1,1
1,50,12,2000,1,4.5,1,0,0
1,58,12,2.5,0,4.5,0,0,1
1,58,12,2.5,0,7.5,0,0,1
1,29,16,1500,1,2,0,1,1
1,60,12,2.5,0,7.5,0,0,1
0,50,9,2.5,0,4.5,0,0,1
0,59,9,2.5,0,4.5,0,0,0
0,23,16,2.5,0,7.5,0,0,0
1,51,12,2.5,0,4.5,0,0,1
0,52,9,2.5,0,10,1,0,1
1,52,15,350,1,7.5,1,0,0
1,33,15,2.5,0,4.5,0,0,1
0,56,9,2.5,0,10,0,0,1
1,65,9,40,0,4.5,0,0,1
1,56,12,400,0,4.5,0,0,1
1,63,6,2.5,1,4.5,0,1,1
1,36,12,15,0,2,0,0,1
0,39,9,7.5,0,4.5,1,0,1
1,56,6,2.5,0,2,1,0,1
1,42,9,7.5,1,4.5,0,0,1
0,46,9,15,0,4.5,1,0,1
1,45,12,2.5,0,4.5,0,0,1
0,50,9,2.5,0,2,0,0,1
1,55,9,2.5,0,4.5,1,0,1
0,40,12,7.5,0,4.5,1,0,1
0,40,12,2.5,0,4.5,0,0,1
1,55,12,2.5,0,4.5,0,0,1
0,62,12,2.5,0,4.5,0,0,1
0,60,9,2.5,0,4.5,0,0,1
1,59,12,2.5,0,10,1,0,0
1,48,6,2.5,0,2,1,0,1
0,30,15,15,1,4.5,0,1,1
0,51,9,2.5,0,2,0,0,1
1,42,6,7.5,0,4.5,1,0,1
1,45,6,2.5,0,4.5,1,0,1
0,30,9,7.5,0,4.5,0,0,1
1,60,12,7.5,1,10,1,0,1
1,48,15,75,0,4.5,0,0,1
0,42,9,2.5,0,2,0,0,0
